comment,sentiment,dominant_construct
untuk pembelian di google 1 jg tidak ada pilihan pembayaran pk dana/shoppepay,neutral,Effort Expectancy
kok punyaku adanya gambar ya bukan video,negative,Effort Expectancy
bang buatin suapya bisa ubah jdi suara ortua bg,neutral,Performance Expectancy
kalau untuk iphone gimana bg ? tidak ada playstore,neutral,Facilitating Conditions
bang jangan pakai negara amerika,neutral,Performance Expectancy
kan katanya kafir,neutral,Effort Expectancy
non halal,neutral,Performance Expectancy
mantaf bang,neutral,Performance Expectancy
"cara merubah ke bahasa indonesia gimana ya,karena setelah saya download teks nya masih dalam bahasa inggris",negative,Effort Expectancy
saya vidionya bahasa inggris,negative,Effort Expectancy
ngeri mas asnawi ini ngarahin ke blog keren keren semoga mudah rezekinya marketing yang keren bang,positive,Social Influence
anjg lo bilang gratis,neutral,Social Influence
"gw suka gaya lu bang,pembawaan tutorial mudah di pahami,gw subscibe langsung",positive,Effort Expectancy
bg punya w kok bahasa inggris jadinya cara ubahnya gmn y bg,neutral,Effort Expectancy
bang klo mau bikin video ai ini tapi sambil pegang produk dagangan yang kita punya bagaimana bang???,neutral,Performance Expectancy
min contoh prompt agar org yang dividio persisi seperti diri kita yang asli gimana yah,neutral,Social Influence
"bang ko punya saya tidak ada suara nya ya,klo bahasa indo",negative,Social Influence
max pembuatan videonya cuman 3 kali ya bang?,neutral,Effort Expectancy
kok punyaku gaa da videonya ya di gemini,neutral,Effort Expectancy
thanks infonya,positive,Performance Expectancy
itukan yang pro.,neutral,Effort Expectancy
yang tidak pro tidak ada vidionya,negative,Performance Expectancy
"bang tolong jawab,videonya bisa lebih panjang tidak lebih dari 8 detik gitu",neutral,Performance Expectancy
kok sekarang opsi lainnya tidak ada dana dll yah kk,negative,Performance Expectancy
punya gw tidak bisa pake gratisnya error terus,negative,Social Influence
tidak muncul menu video,negative,Facilitating Conditions
kalo bikin veo 3 dengan potrait 9:16 bagaimana caranya,neutral,Effort Expectancy
yah bg harus bayar juga,neutral,Effort Expectancy
pake android bisa tidak bang,neutral,Effort Expectancy
sama,neutral,Effort Expectancy
owalah begitu pantes cuma ada gambar doang,neutral,Effort Expectancy
mksh loh babang tamvan link prompt nya jadi bisa tau kn harus ketiknya gmn biar hasilnya kaya babang tamvan,positive,Effort Expectancy
kok saya jadi bahasa inggris ya bang?,negative,Effort Expectancy
bohong ni katanya vpn gratis tapi ditambahkan tidak mau gratis.kolom penambahan ke chrome tidak aktif. lihat pembayaran juga promo labgganan bayar dollar perbulan.,negative,Social Influence
"tolongin permasalahannya dimana? lewat web mentok dilayar vpn,penambahan ke chrome tidak aktif,pilihan negara amerika juga tidak ada.gimana mau lanjut???instal aplikasi vpn ternyata untuk penggunaan tidak gratis harus langganan dulu paling sedikit 159 ribu perminggu",neutral,Performance Expectancy
amazing!,positive,Social Influence
ko saya gabisa ya bang,neutral,Effort Expectancy
ngeri ngeri sedaap ini tutorialnya,negative,Effort Expectancy
udah pake vpn tapi tetep ngga muncul opsi vidionya,negative,Effort Expectancy
ko gw harus beli,neutral,Effort Expectancy
gu udah pake vpn tete veo2,neutral,Performance Expectancy
"mohon ijin bertnya mas,saya sudah mencoba menginstal vpn chrome tapi tidak bisa dijalnkan vpnya..mohon solusinya makasih",neutral,Performance Expectancy
kok di aku tidak ada suaranya ya bang,negative,Social Influence
jgn² mas ini buatan ai juga ya,neutral,Performance Expectancy
mas ini benar benar keren..,positive,Social Influence
kalau dah premium ada batasan buat video tidak ya kak ?,neutral,Performance Expectancy
bang kok punya ngk ada suaranya,negative,Social Influence
punya ku gada suaranya kenapa ya?,negative,Effort Expectancy
"mau tanya mas,kenapa veo 3 saya tidak ada suaranya,prompt apa yang harus diperbaiki ?",negative,Social Influence
"bang,kalau tidak ada suara nya kenapa y",negative,Social Influence
itu jadi akun pro bayar yaa,neutral,Effort Expectancy
ini ada batasan durasinya gak?,neutral,Effort Expectancy
kok di google play saya tidak muncul metode pembayaran melalui aplikasi?,neutral,Effort Expectancy
kok suaranya tidak muncul atau tidak kedengeran yaa,negative,Social Influence
amerika memang hebat,positive,Social Influence
"bang menta caranya dong,gw udah coba tiru yang kek lu bang,tapi kenapa hasil nya berbahasa inggris ya bang,,semoga di jawab",negative,Performance Expectancy
terima kasih sharingnya mas. sungguh berguna,positive,Social Influence
gua dah pake vpn masih veo2 bang,negative,Social Influence
prompt,neutral,Effort Expectancy
"pake frompt bahasa inggris,hasilnya bahasa inggris d tutorial ko bhasanya indo gimana caranya",neutral,Effort Expectancy
"bang ku ada ide,bikin meme dongeng2 habib yaman pasti meledak tu",neutral,Effort Expectancy
ttp berbayar,neutral,Social Influence
"bang mau tanya,kalo waktu klik opsi lainnya malah disuruh beli saldo google play gimana ya ? terima kasih",neutral,Performance Expectancy
main di badui toto agar gacor,neutral,Performance Expectancy
terima kasih bang ilmunya,positive,Performance Expectancy
"di prompt nya bahasa inggris tapi jadinya kok bahasa indonesia ya,aku buat tetep ngomongnya bahasa inggris",negative,Social Influence
"bang kok gua bikin tapi bahasanya inggris si bukan indo,gimana ya bang mohon arahannya",negative,Effort Expectancy
ko tidak bs ya vpn nya di download,negative,Effort Expectancy
kok tidak ada suaranyaa ya,negative,Effort Expectancy
dikasih tau donk akhirnya hanya 3kali regen video doank setelah itu harus nunggu sampe 5 hari wkwkwkwkwkwwkwkw,neutral,Effort Expectancy
keren bg,positive,Social Influence
bang kenapa y hasil video yang aku buat berbicara nya dalam bhs inggris. untuk supaya berbicara bahasa indonesia caranya gimana bang mohon bimbingan nya terimakasih sebelumnya,negative,Performance Expectancy
tidak ada penawaran melalu hp bang..,neutral,Effort Expectancy
"pondok gede bekasi,hadir. gemini yang ada tidak ada video,sy ikuti petunjuk,blm bisa,juga blm ada pro di akun.",neutral,Performance Expectancy
"wah thanks bang,udh gw cba berhasil. tapi klo mau di jadiin bahasa indonesia gmn yaa bang caranya,karena pas jadi ngomong di videonya pakai bahasa inggris..?? mohon arahannya. thanks",negative,Social Influence
mas bisa tidak sih pakai muka kita sendiri hehe.,neutral,Effort Expectancy
tks min,neutral,Effort Expectancy
kalau wajah dari video ingin menggunakan wajah kita gmn itu kak ?,neutral,Effort Expectancy
bang kok punyaku stuck di veo 2,negative,Social Influence
makasih bang sudah berbagi ilmu,positive,Performance Expectancy
sekarang blm bisa lagi ya veo 3,negative,Effort Expectancy
kok saya pujya gakk ada suara yah kak?,negative,Social Influence
"saya coba buat kok tidak ada suara bang,cuma video saja",negative,Social Influence
"itu katanya gratis,tpi ada opsi pembayaran lwt ini itu",neutral,Effort Expectancy
"bang mau nanya,semisal kita pakai contoh foto orang yang sudah kita punya dan tinggal menganimasikannya itu bisa ga???",neutral,Effort Expectancy
kalo opsi videonya tidak muncul gimana bang ?,neutral,Performance Expectancy
knapa hasilnya pake b inggris ya dialognya? pdhal di prompt pas dialog pakai bahasa indonesia,negative,Effort Expectancy
bang koq gwe bikin malah bahasa inggris ya ai ny ngomong,negative,Effort Expectancy
"bang saya udah bisa bikin nya tapi ko enggak ada suara nya terus ya,bantu jawab",negative,Performance Expectancy
bisa dibuat adu domba ama negara lain ni,neutral,Performance Expectancy
pake hp tidak bisa bang,neutral,Effort Expectancy
pakek hp tidak biasa bang?,neutral,Effort Expectancy
punya saya tidak ada suaranya bang,negative,Performance Expectancy
"bang ijin bertanya,saya buat video pakai google veo3 kok cuman bisa 8 detik saja ya? gimana caranya biar bisa panjang sampai 9-10 menit gitu?",neutral,Performance Expectancy
"happy banget bisa dapet rezeki besar dari 𝐁𝐓𝐕❶❻❽,bener-bener puas!",positive,Social Influence
��𝐓𝐕❶❻❽ menawarkan pengalaman visual yang menarik.,positive,Social Influence
"rezeki tak terduga datang dari 𝐁𝐓𝐕❶❻❽,makasih banyak!",positive,Performance Expectancy
"happy banget,hasil dari 𝐁𝐓𝐕❶❻❽ bikin hariku makin ceria!",positive,Social Influence
kenapa hasil videonya berbahasa inggris ya bang ?,negative,Effort Expectancy
bahasanya masih inggris gmna ngerubahnya ya,negative,Effort Expectancy
pakai phto sendiri bsa?caranya?,neutral,Effort Expectancy
tidak bisa 1 menit yaa,neutral,Effort Expectancy
bg sy knp tidak ada suaranya ya,negative,Effort Expectancy
aku bikinn kenapa tidak bisa ada suaranya ya cuma gerakan bibir,negative,Social Influence
dunia sedang tidak baik baik saja gara ai google veo 3,negative,Performance Expectancy
ku kira 100% gratis,neutral,Effort Expectancy
kenapa punya saya tetap veo 2 padahal suadah pakai vpn dan sudah gemini pro,neutral,Facilitating Conditions
bang apakah videonya bisa lebih dari 8 detik?,neutral,Performance Expectancy
saya ko tidak ada suaranya bang..,negative,Performance Expectancy
coba jelaskan maksudnya gratis itu gimana? saya sudah install vpn baru setelah itu disuruh bayar sama si veepn? tidak ada pilihan free nya??,neutral,Effort Expectancy
baju nya ngebug 0:01,negative,Effort Expectancy
kok vpn nya tidak gratis pas saya coba mas?,negative,Social Influence
bang saya tidak ada suaranya,negative,Performance Expectancy
"kedepannya akan ada profesi yang bakal hilang,ayo semangat kita untuk belajar...belajar biar tidak ketinggalan",positive,Social Influence
thanks for showing how to use google veo 3 like a pro. can’t wait to try the viral movie ideas from your second video next,positive,Performance Expectancy
"tidak ada opsi buat by vidio,apa harus gemini pro ya?",neutral,Effort Expectancy
bang video ku kok tidak ada suara ya,negative,Effort Expectancy
yang up vlog di neraka lu bukan bang,neutral,Social Influence
"sudah pakai vpn yang sama tapi hasilnya tetap tidak ada suara,gimana tuh bang?",negative,Social Influence
bayangkan seorang istri melihat suaminya tidur dengan wanita lain..dan itu adalah ai..si istri tidak bakal percaya.....ancuur tu rumah tangga,negative,Performance Expectancy
mungkin admin ini ai?,neutral,Effort Expectancy
"kok aku tidak muncul veo 3 ya,padahal sudah upgrade pro",negative,Social Influence
kok aku tidak ada suaranya mas yah? boleh minta saran?,negative,Effort Expectancy
monas koq bentuknya gitu ya,negative,Performance Expectancy
jadi b0k3p. kerusakan parah.,negative,Performance Expectancy
buat vidio apa yang muncul orang lain bikin vidio ya kita pilih vidio kita terus di pindah kan gitu.kalo itu apa hebatnya tidak bisa bikin vidio wajah kita sendiri,negative,Performance Expectancy
batasnya cuman 8 detik bang? bisa lebih nggak?,neutral,Performance Expectancy
,neutral,Effort Expectancy
thanks bang konten mudah syekali untuk dimengerti,positive,Performance Expectancy
"belum pernah berhasil,kadang suaranya tidak keluar,kadang suaranya beda sama yang di prompt kan,ngga tau salahnya dimana - padahal copypaste dengan prompt yang mas ini tulis. dan sudah via chatgpt juga",negative,Performance Expectancy
aku nyoba dari tdi muter2 mulu ngga slsai2 hasilnya...,negative,Performance Expectancy
bang kok saya video nya ngomong nya bahasa inggris ya bukan bahasa indonesia,negative,Effort Expectancy
kagak doyan google,negative,Effort Expectancy
"kalo udah tidak gratis,bayarnya berapa/bulan",neutral,Performance Expectancy
"bang,aku udah pake vpn,tapi ngga ada tombol videonya. kira kira kenapa ya?",negative,Effort Expectancy
dan lu asli apa ai bg??,neutral,Effort Expectancy
monas bentuknya bukan begitu ya,negative,Performance Expectancy
kok aku gada ya kak.,negative,Effort Expectancy
opsi pilihan video nya?,neutral,Effort Expectancy
google semakin didepan,positive,Facilitating Conditions
ane ud coba kok tidak nongol suara di videony y?,negative,Social Influence
bang.. punyaq waktuo pembayaran di playstore kok ndak muncul pilihan dana gopay dll ya.. hanya plihan kartu debit dll.. gmana ya bang..,neutral,Facilitating Conditions
sory tanya saya bikin tidak ada suaranya,negative,Effort Expectancy
bang. . bisa tidak buatkan untuk bisnis rental mobil saya,neutral,Performance Expectancy
pertanyaannya bayar tidak,neutral,Effort Expectancy
"saya butuh seseorang yang mau mendanai saya untuk menjadi editor ai lebih realistis,",neutral,Performance Expectancy
bang saya kluarnya bahasa inggris mulu tidak bsa bhasa indo,negative,Social Influence
"kayaknya emang udah bisa 1menit bahkan 1jam,tapi emang ditahan dulu,kalau dikeluarin sekarang takutnya kedepannya udah g ada perkembangan lagi,alhasil dapet duit pun berpengaruh",positive,Performance Expectancy
tidak bs konek ke gopay,negative,Facilitating Conditions
bang ko di gua mah hasilnya tidak ada suaranya,negative,Performance Expectancy
"cuman bisa buat 3 video,gimana caranya supaya bisa unlimited tanpa batas buat videonya",neutral,Effort Expectancy
sekarang gabisa keluar audionya yah kak,negative,Social Influence
dan video yang ke 2 tidak ada suaranya gimana solusinya bang,negative,Performance Expectancy
hanya kpd alloh lah kita perlindungan.,neutral,Performance Expectancy
google punya database video terbanyak,neutral,Social Influence
wow. buat prompt dengan prompt,neutral,Social Influence
"maaf newbie,kalo udah jago bikin konten pake ai,trus dapat duit nya darimana aja bang..? kan wajah kita kaga muncul,kaga ada yang mau endorse",neutral,Performance Expectancy
bang ini cuman bisa 8 detik,neutral,Facilitating Conditions
"sudah tidak bisa,cuma 2 metode sekarang",neutral,Effort Expectancy
masih cari pnjlelasan knpa vidio yang saya buat tidak ada suara nya padahal udh bikin prompt sedetail mungkin,negative,Social Influence
"mas,hasil video saya kenapa tidak ada suaranya yah?",negative,Performance Expectancy
"tidak ada ngeri nya di depan penyepong china russia. ada aja alasan mereka untuk menghujat barat,ngata'in standar ganda padahal mereka juga masih bergantung sama produk barat,contoh aja ni youtube",negative,Performance Expectancy
punya saya tidak ada suara yah,negative,Performance Expectancy
bg di punyaku kenapa tidak muncul (bayar di ponsel anda) yaa ?,neutral,Performance Expectancy
bang kalo bikin video wajah kita sendiri gemana,neutral,Performance Expectancy
"saya coba upgrade gemini pro belum bisa,terkendala penawaran pembayaran harus lewat google one,tdk ada pilihan pembayaran lewat gopay. gimana mas??",neutral,Facilitating Conditions
kalau mau 3 menit gimana ya bang? ko aku 8 detik terus,neutral,Performance Expectancy
monas macam menara alor setar,negative,Social Influence
apa ada hubungannya dengan scan retina mata yang meghasilkan uang itu ntahlah,neutral,Performance Expectancy
"bang,kenapa video saya tidak ada audio nya ya ? udah coba 3x promt,gk ada audionya semua",negative,Facilitating Conditions
"mas mau nanya,kenapa di gemini ngga muncul menu video nya ya?",neutral,Social Influence
bang mohon info veo 3 pro durasi video bisa maksimal berapa detik ya ?,neutral,Effort Expectancy
ini gw tidak bisa dapetin yang free tiap daftar minimal harus ada sisa uang kah 309rb di saldo?,neutral,Effort Expectancy
bang gw udah buat pakai prompt yang lu bikin tapi gw edit dikit untuk percakapan nya tapi kok hasilnya tidak keluar suaranya ya gimana solusinya bang,negative,Performance Expectancy
kok punya gw malah veo 2 jadinya bang?,neutral,Performance Expectancy
"bang,nerima order pembuatan video tidak ya,untuk promosi",neutral,Performance Expectancy
"berapaan veo 3 sih? pengen,tp takut mahal masih youtuber pemula",neutral,Effort Expectancy
pakai android bisa tidak bang ?,neutral,Effort Expectancy
makasih bang sangat bermanfaat,positive,Social Influence
"buatkan prompt gogle veo 3 seorang wanita cantik berambut panjang dengan begrond lomba burung canary seolah ngevlog sambil berbicara bahasa indonesia burung kenari anda macet pakan magic solusinya,pakan herbal untuk burung macet dengan ceria",negative,Performance Expectancy
harus punya banyak akun donk bang,neutral,Effort Expectancy
"min itu gemini nya yang berbayar ya ??? kelihatan dari accountnya pro,yg gratis tdk ada menu video nya",neutral,Effort Expectancy
bosan,negative,Effort Expectancy
kok aku di hp tidak bisa di download yah hasilnya...udah berhasil di download tapi filenya tidak muncul di galeri.,negative,Effort Expectancy
aku sudah pake vpn tapi masih saja tidak muncul video nya... tetep saja harus pro kan???,negative,Effort Expectancy
lama pekerjaan aktor alan digantiin pake ai,negative,Performance Expectancy
saya yakin yang bikin konten ini ijazahnya asli,neutral,Effort Expectancy
"ini baru channel,membahas secara rinci dan tutorial yang detail. auto subrekkkkkkk lu bang",positive,Effort Expectancy
maaf ka saya mau nanya? kok saya sudah pro tapi masih vio 2,neutral,Effort Expectancy
biar logat nya jadi bahasa indonesia gm,neutral,Performance Expectancy
gua bikin kenapa hasil videonya ngomong pake bahasa inggris mulu ya,negative,Effort Expectancy
waktunya singkat banget cuma 8 detik,neutral,Performance Expectancy
monas nya tidak asli bang yaa,negative,Performance Expectancy
sama,neutral,Effort Expectancy
"​ ternyata kita harus rubah ke bahasa inggris,dan kalo mau kasih dialog kita harus nambahin kata misal kaya : berkata dengan bahasa indonesia atau berbicara dengan bahasa indonesia,atau tidak lu coba bikin dialog terus pas promt udh jadi,lu bilang lg ke chatgpt nya pastika karakter mengatakan dialog yang saya buat",neutral,Performance Expectancy
"kurleb begitu sih,gua bikin udh berhasil",neutral,Effort Expectancy
bang saya coba udah ada ada vido nya kok tidak ada suaranya ya ?,negative,Social Influence
jgn sampai ada yang bikin video 3gp ariel dan wulan,neutral,Performance Expectancy
beberapa kali nyoba tapi kok tidak ada suaranya yang malah jadi video gagu,negative,Social Influence
negara komunis cina pasti langsung buat tiruan negara kw,neutral,Effort Expectancy
