comment,sentiment,dominant_construct
"thx bang,ai emang sengeri itu sih wkwoakowkoa",positive,Performance Expectancy
anda asli atau tidak bos,neutral,Effort Expectancy
min knpa aku tidak ad tulisan vidionya,neutral,Effort Expectancy
ko aku nyoba video ai suaranya malah inggris bukan indo,negative,Performance Expectancy
durasinya kenapa 8 detik aja bang enggak bisa 1 menit/5menit,neutral,Performance Expectancy
untuk durasi vidio bisa lebih dari 8 detik tidak bang,neutral,Performance Expectancy
"tempat ku tidak ada video,adanya foto sama teks",negative,Performance Expectancy
"kadang heran mau bangga atau miris sama kemajuan teknologi sekarang,semuanya terasa cepet selesai tapi sebagian yang lain salah menggunakannya",negative,Performance Expectancy
wah sayang terlalu ribet bang harus pakai lectop yang ngk pumya ngk bisa dong,negative,Performance Expectancy
bang cara ngerubah orang berbicaranya dimana yaa ko sya buat ngomongnya malah bahasa inggrisbukan bahasa indonesia,negative,Performance Expectancy
"bang aku kok gada opsi pembayaran pakai shopeepay atau gopay bang,gmna solusinya",negative,Effort Expectancy
udah coba klaim gratis 1 bulan belum?,neutral,Effort Expectancy
bang kok punyaku ngomongnya pake bahasa inggris bng gi mna cara buat bahasa indonesia bg,negative,Performance Expectancy
bang vpn nya tidak bisa ya yang versi seluler..,negative,Effort Expectancy
cuman 8 detik. bacot,neutral,Effort Expectancy
harus pake gemini pro ya bang,neutral,Facilitating Conditions
udah gabisa metode pembayaranya udh dirubah,neutral,Effort Expectancy
bisa lebih dari 8 detik durasinya ?,neutral,Effort Expectancy
bisa lebih dari 8 detik durasi nya ?,neutral,Effort Expectancy
bang vpn nya gratis bang atau gimana,neutral,Performance Expectancy
terimaksih info nya,neutral,Performance Expectancy
"saya mau belajar,ada ada buka kelas khusus,atau private",neutral,Performance Expectancy
"saya pake metode dana,tapi ko tetep gabisa yah",negative,Effort Expectancy
di aku kok tetep tidak ada ya bang videonya,negative,Effort Expectancy
makasih bang ini tutorial paling jelas,positive,Performance Expectancy
"pas nyoba,koq pakai bahasa inggris dis",negative,Performance Expectancy
"min,gmn cara buat vidio seperti ditiktok yang judulnya santri pekok",neutral,Performance Expectancy
durasi nya tidak bisa panjang ya ?,negative,Effort Expectancy
d saya ko hasilnya pke b.inggris bang,neutral,Performance Expectancy
lewat hp bisa?,neutral,Effort Expectancy
kalau videonya durasinya lama bisa tidak ? 30 menit gitu,neutral,Performance Expectancy
"punyaku kok tidak kluar audionya ya om,padahal udah ngikutin prompt nya.",negative,Performance Expectancy
"punya lo udah pro bang,hadehhh",neutral,Performance Expectancy
salam kelan bang,positive,Effort Expectancy
ini wajib pakai desktop atau bisa pakai android kaka,neutral,Performance Expectancy
makasih sharing ilmunya bang.,positive,Performance Expectancy
bermanfaat sekali,positive,Social Influence
"sekarang buat email mest scan barcode nomor hp,trik ini sudah tidak bisa digunakan",neutral,Effort Expectancy
cuma akun pro doang yang bisa,neutral,Effort Expectancy
tapi hasilnya kok bahasa inggris ya bukan bahasa indonesia ??? tolong pencerahannya suhu ?,negative,Performance Expectancy
"gratis dari hongkong,itu punyamu itu pro",neutral,Performance Expectancy
videonya maks 8 detik saja kah?,neutral,Effort Expectancy
"bang,minta link video biar karakternya konsisten",neutral,Performance Expectancy
bang saya udah gemini pro tapi belum veo 3 ?,neutral,Effort Expectancy
kalo pake ip gimana bang notifnya lari kemana,neutral,Performance Expectancy
kalau ingin durasi video lebih dari 8 detik caranya gimana?,neutral,Performance Expectancy
"terimakasih bang tutor nya,moga berkah ilmu nya bg,amal jariyah buat abang",positive,Performance Expectancy
"bang,di gemini aku kok gada fitur buat bikin vidionya?",neutral,Social Influence
cuma ada gambar aja.,neutral,Performance Expectancy
bagaimana?,neutral,Performance Expectancy
untuk pembelian di google 1 jg tidak ada pilihan pembayaran pk dana/shoppepay,neutral,Performance Expectancy
kok punyaku adanya gambar ya bukan video,negative,Effort Expectancy
bang buatin suapya bisa ubah jdi suara ortua bg,neutral,Effort Expectancy
kalau untuk iphone gimana bg ? tidak ada playstore,neutral,Performance Expectancy
bang jangan pakai negara amerika,neutral,Effort Expectancy
kan katanya kafir,negative,Performance Expectancy
non halal,neutral,Performance Expectancy
mantaf bang,positive,Effort Expectancy
"cara merubah ke bahasa indonesia gimana ya,karena setelah saya download teks nya masih dalam bahasa inggris",neutral,Performance Expectancy
saya vidionya bahasa inggris,negative,Performance Expectancy
ngeri mas asnawi ini ngarahin ke blog keren keren semoga mudah rezekinya marketing yang keren bang,positive,Social Influence
anjg lo bilang gratis,neutral,Effort Expectancy
"gw suka gaya lu bang,pembawaan tutorial mudah di pahami,gw subscibe langsung",positive,Effort Expectancy
bg punya w kok bahasa inggris jadinya cara ubahnya gmn y bg,neutral,Effort Expectancy
bang klo mau bikin video ai ini tapi sambil pegang produk dagangan yang kita punya bagaimana bang???,neutral,Social Influence
min contoh prompt agar org yang dividio persisi seperti diri kita yang asli gimana yah,neutral,Performance Expectancy
"bang ko punya saya tidak ada suara nya ya,klo bahasa indo",negative,Performance Expectancy
max pembuatan videonya cuman 3 kali ya bang?,neutral,Effort Expectancy
kok punyaku gaa da videonya ya di gemini,neutral,Social Influence
thanks infonya,neutral,Performance Expectancy
itukan yang pro.,neutral,Performance Expectancy
yang tidak pro tidak ada vidionya,negative,Effort Expectancy
"bang tolong jawab,videonya bisa lebih panjang tidak lebih dari 8 detik gitu",neutral,Performance Expectancy
kok sekarang opsi lainnya tidak ada dana dll yah kk,negative,Social Influence
punya gw tidak bisa pake gratisnya error terus,negative,Social Influence
tidak muncul menu video,negative,Effort Expectancy
kalo bikin veo 3 dengan potrait 9:16 bagaimana caranya,neutral,Performance Expectancy
yah bg harus bayar juga,neutral,Effort Expectancy
pake android bisa tidak bang,neutral,Effort Expectancy
sama,neutral,Performance Expectancy
owalah begitu pantes cuma ada gambar doang,neutral,Performance Expectancy
mksh loh babang tamvan link prompt nya jadi bisa tau kn harus ketiknya gmn biar hasilnya kaya babang tamvan,positive,Performance Expectancy
kok saya jadi bahasa inggris ya bang?,negative,Social Influence
bohong ni katanya vpn gratis tapi ditambahkan tidak mau gratis.kolom penambahan ke chrome tidak aktif. lihat pembayaran juga promo labgganan bayar dollar perbulan.,negative,Performance Expectancy
"tolongin permasalahannya dimana? lewat web mentok dilayar vpn,penambahan ke chrome tidak aktif,pilihan negara amerika juga tidak ada.gimana mau lanjut???instal aplikasi vpn ternyata untuk penggunaan tidak gratis harus langganan dulu paling sedikit 159 ribu perminggu",negative,Performance Expectancy
amazing!,positive,Social Influence
ko saya gabisa ya bang,negative,Performance Expectancy
ngeri ngeri sedaap ini tutorialnya,negative,Performance Expectancy
udah pake vpn tapi tetep ngga muncul opsi vidionya,negative,Effort Expectancy
ko gw harus beli,neutral,Effort Expectancy
gu udah pake vpn tete veo2,neutral,Effort Expectancy
"mohon ijin bertnya mas,saya sudah mencoba menginstal vpn chrome tapi tidak bisa dijalnkan vpnya..mohon solusinya makasih",negative,Performance Expectancy
kok di aku tidak ada suaranya ya bang,negative,Effort Expectancy
jgn² mas ini buatan ai juga ya,neutral,Social Influence
mas ini benar benar keren..,positive,Social Influence
kalau dah premium ada batasan buat video tidak ya kak ?,neutral,Effort Expectancy
bang kok punya ngk ada suaranya,negative,Effort Expectancy
punya ku gada suaranya kenapa ya?,negative,Social Influence
"mau tanya mas,kenapa veo 3 saya tidak ada suaranya,prompt apa yang harus diperbaiki ?",negative,Performance Expectancy
"bang,kalau tidak ada suara nya kenapa y",negative,Effort Expectancy
itu jadi akun pro bayar yaa,neutral,Effort Expectancy
ini ada batasan durasinya gak?,neutral,Effort Expectancy
kok di google play saya tidak muncul metode pembayaran melalui aplikasi?,neutral,Effort Expectancy
kok suaranya tidak muncul atau tidak kedengeran yaa,negative,Performance Expectancy
amerika memang hebat,positive,Social Influence
"bang menta caranya dong,gw udah coba tiru yang kek lu bang,tapi kenapa hasil nya berbahasa inggris ya bang,,semoga di jawab",negative,Performance Expectancy
terima kasih sharingnya mas. sungguh berguna,positive,Performance Expectancy
gua dah pake vpn masih veo2 bang,neutral,Social Influence
prompt,neutral,Performance Expectancy
"pake frompt bahasa inggris,hasilnya bahasa inggris d tutorial ko bhasanya indo gimana caranya",neutral,Performance Expectancy
"bang ku ada ide,bikin meme dongeng2 habib yaman pasti meledak tu",neutral,Effort Expectancy
ttp berbayar,neutral,Performance Expectancy
"bang mau tanya,kalo waktu klik opsi lainnya malah disuruh beli saldo google play gimana ya ? terima kasih",neutral,Performance Expectancy
main di badui toto agar gacor,neutral,Performance Expectancy
terima kasih bang ilmunya,positive,Performance Expectancy
"di prompt nya bahasa inggris tapi jadinya kok bahasa indonesia ya,aku buat tetep ngomongnya bahasa inggris",negative,Performance Expectancy
"bang kok gua bikin tapi bahasanya inggris si bukan indo,gimana ya bang mohon arahannya",negative,Performance Expectancy
ko tidak bs ya vpn nya di download,negative,Performance Expectancy
kok tidak ada suaranyaa ya,negative,Effort Expectancy
dikasih tau donk akhirnya hanya 3kali regen video doank setelah itu harus nunggu sampe 5 hari wkwkwkwkwkwwkwkw,neutral,Performance Expectancy
keren bg,positive,Social Influence
bang kenapa y hasil video yang aku buat berbicara nya dalam bhs inggris. untuk supaya berbicara bahasa indonesia caranya gimana bang mohon bimbingan nya terimakasih sebelumnya,negative,Performance Expectancy
tidak ada penawaran melalu hp bang..,negative,Performance Expectancy
"pondok gede bekasi,hadir. gemini yang ada tidak ada video,sy ikuti petunjuk,blm bisa,juga blm ada pro di akun.",neutral,Performance Expectancy
"wah thanks bang,udh gw cba berhasil. tapi klo mau di jadiin bahasa indonesia gmn yaa bang caranya,karena pas jadi ngomong di videonya pakai bahasa inggris..?? mohon arahannya. thanks",negative,Performance Expectancy
mas bisa tidak sih pakai muka kita sendiri hehe.,neutral,Performance Expectancy
tks min,neutral,Effort Expectancy
kalau wajah dari video ingin menggunakan wajah kita gmn itu kak ?,neutral,Effort Expectancy
bang kok punyaku stuck di veo 2,neutral,Effort Expectancy
makasih bang sudah berbagi ilmu,positive,Performance Expectancy
sekarang blm bisa lagi ya veo 3,negative,Social Influence
kok saya pujya gakk ada suara yah kak?,negative,Effort Expectancy
"saya coba buat kok tidak ada suara bang,cuma video saja",negative,Effort Expectancy
"itu katanya gratis,tpi ada opsi pembayaran lwt ini itu",neutral,Performance Expectancy
"bang mau nanya,semisal kita pakai contoh foto orang yang sudah kita punya dan tinggal menganimasikannya itu bisa ga???",neutral,Performance Expectancy
kalo opsi videonya tidak muncul gimana bang ?,neutral,Performance Expectancy
knapa hasilnya pake b inggris ya dialognya? pdhal di prompt pas dialog pakai bahasa indonesia,neutral,Performance Expectancy
bang koq gwe bikin malah bahasa inggris ya ai ny ngomong,negative,Effort Expectancy
"bang saya udah bisa bikin nya tapi ko enggak ada suara nya terus ya,bantu jawab",negative,Performance Expectancy
bisa dibuat adu domba ama negara lain ni,neutral,Effort Expectancy
pake hp tidak bisa bang,negative,Effort Expectancy
pakek hp tidak biasa bang?,negative,Performance Expectancy
punya saya tidak ada suaranya bang,negative,Effort Expectancy
"bang ijin bertanya,saya buat video pakai google veo3 kok cuman bisa 8 detik saja ya? gimana caranya biar bisa panjang sampai 9-10 menit gitu?",neutral,Performance Expectancy
"happy banget bisa dapet rezeki besar dari 𝐁𝐓𝐕❶❻❽,bener-bener puas!",positive,Social Influence
��𝐓𝐕❶❻❽ menawarkan pengalaman visual yang menarik.,positive,Social Influence
"rezeki tak terduga datang dari 𝐁𝐓𝐕❶❻❽,makasih banyak!",positive,Performance Expectancy
"happy banget,hasil dari 𝐁𝐓𝐕❶❻❽ bikin hariku makin ceria!",positive,Social Influence
kenapa hasil videonya berbahasa inggris ya bang ?,negative,Performance Expectancy
bahasanya masih inggris gmna ngerubahnya ya,negative,Performance Expectancy
pakai phto sendiri bsa?caranya?,neutral,Effort Expectancy
tidak bisa 1 menit yaa,neutral,Effort Expectancy
bg sy knp tidak ada suaranya ya,negative,Performance Expectancy
aku bikinn kenapa tidak bisa ada suaranya ya cuma gerakan bibir,negative,Effort Expectancy
dunia sedang tidak baik baik saja gara ai google veo 3,negative,Performance Expectancy
ku kira 100% gratis,neutral,Performance Expectancy
kenapa punya saya tetap veo 2 padahal suadah pakai vpn dan sudah gemini pro,neutral,Facilitating Conditions
bang apakah videonya bisa lebih dari 8 detik?,neutral,Effort Expectancy
saya ko tidak ada suaranya bang..,negative,Effort Expectancy
coba jelaskan maksudnya gratis itu gimana? saya sudah install vpn baru setelah itu disuruh bayar sama si veepn? tidak ada pilihan free nya??,neutral,Performance Expectancy
baju nya ngebug 0:01,negative,Effort Expectancy
kok vpn nya tidak gratis pas saya coba mas?,neutral,Social Influence
bang saya tidak ada suaranya,negative,Effort Expectancy
"kedepannya akan ada profesi yang bakal hilang,ayo semangat kita untuk belajar...belajar biar tidak ketinggalan",positive,Social Influence
thanks for showing how to use google veo 3 like a pro. can’t wait to try the viral movie ideas from your second video next,positive,Performance Expectancy
"tidak ada opsi buat by vidio,apa harus gemini pro ya?",neutral,Effort Expectancy
bang video ku kok tidak ada suara ya,negative,Effort Expectancy
yang up vlog di neraka lu bukan bang,neutral,Social Influence
"sudah pakai vpn yang sama tapi hasilnya tetap tidak ada suara,gimana tuh bang?",negative,Performance Expectancy
bayangkan seorang istri melihat suaminya tidur dengan wanita lain..dan itu adalah ai..si istri tidak bakal percaya.....ancuur tu rumah tangga,negative,Performance Expectancy
mungkin admin ini ai?,neutral,Effort Expectancy
"kok aku tidak muncul veo 3 ya,padahal sudah upgrade pro",negative,Performance Expectancy
kok aku tidak ada suaranya mas yah? boleh minta saran?,negative,Performance Expectancy
monas koq bentuknya gitu ya,negative,Performance Expectancy
jadi b0k3p. kerusakan parah.,negative,Performance Expectancy
buat vidio apa yang muncul orang lain bikin vidio ya kita pilih vidio kita terus di pindah kan gitu.kalo itu apa hebatnya tidak bisa bikin vidio wajah kita sendiri,negative,Performance Expectancy
batasnya cuman 8 detik bang? bisa lebih nggak?,neutral,Performance Expectancy
,neutral,Social Influence
thanks bang konten mudah syekali untuk dimengerti,positive,Performance Expectancy
"belum pernah berhasil,kadang suaranya tidak keluar,kadang suaranya beda sama yang di prompt kan,ngga tau salahnya dimana - padahal copypaste dengan prompt yang mas ini tulis. dan sudah via chatgpt juga",negative,Performance Expectancy
aku nyoba dari tdi muter2 mulu ngga slsai2 hasilnya...,negative,Performance Expectancy
bang kok saya video nya ngomong nya bahasa inggris ya bukan bahasa indonesia,negative,Effort Expectancy
kagak doyan google,neutral,Effort Expectancy
"kalo udah tidak gratis,bayarnya berapa/bulan",neutral,Effort Expectancy
"bang,aku udah pake vpn,tapi ngga ada tombol videonya. kira kira kenapa ya?",negative,Performance Expectancy
dan lu asli apa ai bg??,neutral,Performance Expectancy
monas bentuknya bukan begitu ya,negative,Performance Expectancy
kok aku gada ya kak.,negative,Performance Expectancy
opsi pilihan video nya?,neutral,Effort Expectancy
google semakin didepan,positive,Social Influence
ane ud coba kok tidak nongol suara di videony y?,negative,Effort Expectancy
bang.. punyaq waktuo pembayaran di playstore kok ndak muncul pilihan dana gopay dll ya.. hanya plihan kartu debit dll.. gmana ya bang..,neutral,Performance Expectancy
sory tanya saya bikin tidak ada suaranya,negative,Effort Expectancy
bang. . bisa tidak buatkan untuk bisnis rental mobil saya,neutral,Social Influence
pertanyaannya bayar tidak,neutral,Effort Expectancy
"saya butuh seseorang yang mau mendanai saya untuk menjadi editor ai lebih realistis,",positive,Performance Expectancy
bang saya kluarnya bahasa inggris mulu tidak bsa bhasa indo,negative,Performance Expectancy
"kayaknya emang udah bisa 1menit bahkan 1jam,tapi emang ditahan dulu,kalau dikeluarin sekarang takutnya kedepannya udah g ada perkembangan lagi,alhasil dapet duit pun berpengaruh",negative,Performance Expectancy
tidak bs konek ke gopay,negative,Performance Expectancy
bang ko di gua mah hasilnya tidak ada suaranya,negative,Effort Expectancy
"cuman bisa buat 3 video,gimana caranya supaya bisa unlimited tanpa batas buat videonya",neutral,Performance Expectancy
sekarang gabisa keluar audionya yah kak,negative,Effort Expectancy
dan video yang ke 2 tidak ada suaranya gimana solusinya bang,negative,Performance Expectancy
hanya kpd alloh lah kita perlindungan.,neutral,Performance Expectancy
google punya database video terbanyak,neutral,Effort Expectancy
wow. buat prompt dengan prompt,neutral,Social Influence
"maaf newbie,kalo udah jago bikin konten pake ai,trus dapat duit nya darimana aja bang..? kan wajah kita kaga muncul,kaga ada yang mau endorse",neutral,Performance Expectancy
bang ini cuman bisa 8 detik,neutral,Social Influence
"sudah tidak bisa,cuma 2 metode sekarang",neutral,Effort Expectancy
masih cari pnjlelasan knpa vidio yang saya buat tidak ada suara nya padahal udh bikin prompt sedetail mungkin,negative,Social Influence
"mas,hasil video saya kenapa tidak ada suaranya yah?",negative,Performance Expectancy
"tidak ada ngeri nya di depan penyepong china russia. ada aja alasan mereka untuk menghujat barat,ngata'in standar ganda padahal mereka juga masih bergantung sama produk barat,contoh aja ni youtube",negative,Performance Expectancy
punya saya tidak ada suara yah,negative,Effort Expectancy
bg di punyaku kenapa tidak muncul (bayar di ponsel anda) yaa ?,neutral,Effort Expectancy
bang kalo bikin video wajah kita sendiri gemana,neutral,Effort Expectancy
"saya coba upgrade gemini pro belum bisa,terkendala penawaran pembayaran harus lewat google one,tdk ada pilihan pembayaran lewat gopay. gimana mas??",neutral,Performance Expectancy
kalau mau 3 menit gimana ya bang? ko aku 8 detik terus,neutral,Performance Expectancy
monas macam menara alor setar,neutral,Social Influence
apa ada hubungannya dengan scan retina mata yang meghasilkan uang itu ntahlah,neutral,Performance Expectancy
"bang,kenapa video saya tidak ada audio nya ya ? udah coba 3x promt,gk ada audionya semua",negative,Performance Expectancy
"mas mau nanya,kenapa di gemini ngga muncul menu video nya ya?",neutral,Effort Expectancy
bang mohon info veo 3 pro durasi video bisa maksimal berapa detik ya ?,neutral,Performance Expectancy
ini gw tidak bisa dapetin yang free tiap daftar minimal harus ada sisa uang kah 309rb di saldo?,neutral,Performance Expectancy
bang gw udah buat pakai prompt yang lu bikin tapi gw edit dikit untuk percakapan nya tapi kok hasilnya tidak keluar suaranya ya gimana solusinya bang,negative,Performance Expectancy
kok punya gw malah veo 2 jadinya bang?,neutral,Effort Expectancy
"bang,nerima order pembuatan video tidak ya,untuk promosi",neutral,Performance Expectancy
"berapaan veo 3 sih? pengen,tp takut mahal masih youtuber pemula",neutral,Performance Expectancy
pakai android bisa tidak bang ?,neutral,Effort Expectancy
makasih bang sangat bermanfaat,positive,Performance Expectancy
"buatkan prompt gogle veo 3 seorang wanita cantik berambut panjang dengan begrond lomba burung canary seolah ngevlog sambil berbicara bahasa indonesia burung kenari anda macet pakan magic solusinya,pakan herbal untuk burung macet dengan ceria",neutral,Performance Expectancy
harus punya banyak akun donk bang,neutral,Effort Expectancy
"min itu gemini nya yang berbayar ya ??? kelihatan dari accountnya pro,yg gratis tdk ada menu video nya",neutral,Performance Expectancy
bosan,negative,Effort Expectancy
kok aku di hp tidak bisa di download yah hasilnya...udah berhasil di download tapi filenya tidak muncul di galeri.,negative,Performance Expectancy
aku sudah pake vpn tapi masih saja tidak muncul video nya... tetep saja harus pro kan???,negative,Performance Expectancy
lama pekerjaan aktor alan digantiin pake ai,negative,Social Influence
saya yakin yang bikin konten ini ijazahnya asli,neutral,Effort Expectancy
"ini baru channel,membahas secara rinci dan tutorial yang detail. auto subrekkkkkkk lu bang",positive,Performance Expectancy
maaf ka saya mau nanya? kok saya sudah pro tapi masih vio 2,neutral,Effort Expectancy
biar logat nya jadi bahasa indonesia gm,neutral,Effort Expectancy
gua bikin kenapa hasil videonya ngomong pake bahasa inggris mulu ya,negative,Effort Expectancy
waktunya singkat banget cuma 8 detik,negative,Performance Expectancy
monas nya tidak asli bang yaa,negative,Performance Expectancy
sama,neutral,Performance Expectancy
"​ ternyata kita harus rubah ke bahasa inggris,dan kalo mau kasih dialog kita harus nambahin kata misal kaya : berkata dengan bahasa indonesia atau berbicara dengan bahasa indonesia,atau tidak lu coba bikin dialog terus pas promt udh jadi,lu bilang lg ke chatgpt nya pastika karakter mengatakan dialog yang saya buat",negative,Performance Expectancy
"kurleb begitu sih,gua bikin udh berhasil",neutral,Performance Expectancy
bang saya coba udah ada ada vido nya kok tidak ada suaranya ya ?,negative,Effort Expectancy
jgn sampai ada yang bikin video 3gp ariel dan wulan,neutral,Performance Expectancy
beberapa kali nyoba tapi kok tidak ada suaranya yang malah jadi video gagu,negative,Social Influence
